
"Service List"
#,Code,Name,Section,Category,"Processing Time",Published,"Cost (MYR)","Price (MYR)","Lowest Price (MYR)","Commission Type","Service Commission Type"
89,S00049,"STRESS AWAY FACIAL ","1ST TRIAL",,60,Yes,99.00,99.00,0.00,,
90,S00050,"HORMONAL INBALANCE",TCM,,90,Yes,99.00,99.00,0.00,,
91,S00051,"1ST STEAM CELL GF ","1ST TRIAL",,0,Yes,0.00,2800.00,0.00,,
92,S00052,"BODY GUASA",TCM,,60,Yes,100.00,100.00,0.00,,
93,S00053,"HIFU 1ST TRIAL","1ST TRIAL",,0,Yes,199.00,199.00,0.00,,
94,S00054,"1st TRIAL SLIMMING","1ST TRIAL",,60,Yes,0.00,99.00,0.00,,
95,S00055,"NEW SLIMMING PACKAGE (A) X 3 + 1",SLIMMING,,100,Yes,0.00,3988.00,0.00,,
96,S00056,"NEW SLIMMING PACKAGE (B) 6+2",SLIMMING,,0,Yes,0.00,7200.00,0.00,,
97,S00057,"NEW SLIMMING PACKAGE (C) 8+4",SLIMMING,,0,Yes,0.00,9600.00,0.00,,
98,S00058,"Eye Treatment  ( THERAPAUTIC)","EYE TREATMENT",,0,Yes,0.00,0.00,0.00,,
99,S00059,"PDT Light Treatment",,,0,Yes,0.00,0.00,0.00,,
100,S00060,"DOC2SKIN 1st TRIAL PROMO",,,0,Yes,100.00,100.00,0.00,,
101,S00061,"BEAUBELLE FACIAL GUASA",FACIAL,"Face Treatment",20,Yes,88.00,88.00,0.00,,
102,S00062,"HIFU ",,"Face Treatment",0,Yes,1500.00,1500.00,0.00,,
103,S00063,"THERAPAUTIC FACIAL + HIFU (CNY/Valentine’s PROMO)",FACIAL,,0,Yes,488.00,488.00,0.00,,
104,S00067,"EMPulseX (EMS)",SLIMMING,"Body Slimming",20,Yes,600.00,600.00,0.00,,
105,S00068,"Stem Cell GF+ (Staff) ","STEM CELL GF+","Face Treatment",0,Yes,600.00,900.00,0.00,,
106,S00071,"OXY - PICO ",,,0,Yes,168.00,168.00,0.00,,
107,S00072,"STEM CELL GF+",,,0,Yes,3800.00,3800.00,0.00,,
108,S00073,"CLASSIC FACIAL DETOXIFICATION (FACIAL) ",FACIAL,,0,Yes,180.00,180.00,0.00,,
109,S00076,"THERAPAUTIC WELLNESS",FACIAL,,0,Yes,0.00,0.00,0.00,,
110,S00077,"LIPO LASER SCULPT",SLIMMING,,15,Yes,0.00,0.00,0.00,,
111,S00078,EMPULSEX,SLIMMING,,20,Yes,0.00,0.00,0.00,,
112,S00079,"ULTRA SCULLY WAVE",SLIMMING,,15,Yes,0.00,0.00,0.00,,
113,S00080,"VACUSCULPT PRO",SLIMMING,,15,Yes,0.00,0.00,0.00,,
114,S00081,"BODY FIRM SCULPT TREATMENT",SLIMMING,,15,Yes,0.00,0.00,0.00,,
115,S00082,"SLIMMING PACKAGES B ",SLIMMING,,0,Yes,3988.00,3988.00,0.00,,
116,S00083,HIFU,FACIAL,,0,Yes,0.00,0.00,0.00,,
117,S00084,"CLASSIC WELLNESS FACIAL + HIFU",FACIAL,,0,Yes,288.00,288.00,0.00,,
118,S00085,"SHOULDER MASSAGE",,,20,Yes,58.00,58.00,0.00,,
119,S00086,"EYEBROW RESHAPING",,,0,Yes,28.00,28.00,0.00,,
120,S00087,"PRE MATTURE AGEING ",FACIAL,,0,Yes,0.00,680.00,0.00,,
121,S00088,"MOTHER'S DAY PROMO",FACIAL,,0,Yes,288.00,288.00,0.00,,
122,S00089,"PARENTS DAY PROMO ",,,0,Yes,288.00,288.00,0.00,,
123,S00090,"CLASSIC / NATURAL EYELASHES","EYELASH EXTENSION","EYELASH EXTENSION",75,Yes,138.00,138.00,0.00,,
124,S00091,"Hybrid / Medium Eyelashes","EYELASH EXTENSION","EYELASH EXTENSION",75,Yes,198.00,198.00,0.00,,
125,S00092,"Whispy Eyelashes","EYELASH EXTENSION","EYELASH EXTENSION",75,Yes,228.00,228.00,0.00,,
126,S00093,"Volume Eyelashes ","EYELASH EXTENSION","EYELASH EXTENSION",75,Yes,268.00,268.00,0.00,,
127,S00094,"HEAD & SHOULDER MASSAGE ","BODY CARE","BODY TREATMENT",20,Yes,108.00,108.00,0.00,,
128,S00095,"EYELASH REMOVAL","EYELASH EXTENSION","EYELASH EXTENSION",0,Yes,20.00,20.00,0.00,,
129,S00096,"EYELASH TOUCH UP ","EYELASH EXTENSION","EYELASH EXTENSION",0,Yes,80.00,80.00,0.00,,
130,S00097,"EYELASH PERMING / KERATIN EYELASH","EYELASH EXTENSION","EYELASH EXTENSION",0,Yes,98.00,98.00,0.00,,
131,S00098,"SKIN TAG REMOVAL","SKIN TAG REMOVAL","SKIN TAG REMOVAL",0,Yes,20.00,20.00,0.00,,
132,S00099,"Campaign Promo 1 pax","BODY CARE",,0,Yes,129.00,129.00,0.00,,
133,S00100,"Campaign Promo 2 pax","BODY CARE","BODY CARE",0,Yes,198.00,198.00,0.00,,
134,S00101,"Machine/ Oxy Spray ( Add on)",,,0,Yes,0.00,0.00,0.00,,
135,S00102,"HIFU FACE LIFTING & CONTOURING -FIRST TRAIL ",,,60,Yes,199.00,199.00,0.00,,
136,S00103,"HIFU NECK LIFT & TUCK - FIRST TRIAL",,,30,Yes,199.00,199.00,0.00,,
137,S00104,"HIFU FACE & NECK LIFT - FIRST TRAIL ","1ST TRIAL",,90,Yes,298.00,298.00,0.00,,
138,S00105,"DPL BB FACE REJUVENATION ",,,60,Yes,688.00,688.00,0.00,,
139,S00106,"DPL BB FACE REJUVENATION -FIRST TRIAL ","1ST TRIAL",,60,Yes,199.00,199.00,0.00,,
140,S00107,"DPL BB NECK REJUVENATION -FIRST TRIAL ","1ST TRIAL",,30,Yes,199.00,199.00,0.00,,
141,S00108,"DPL BB NECK REJUVENATION ",,,0,Yes,420.00,420.00,0.00,,
142,S00109,"DPL BB FACE & NECK REJUVENATION -FIRST TRIAL","1ST TRIAL",,0,Yes,298.00,298.00,0.00,,
143,S00110,"DPL BB FACE & NECK REJUVENATION",,,0,Yes,1100.00,1100.00,0.00,,
144,S00111,"HIFU FACE LIFTING & CONTOURING",,,0,Yes,788.00,788.00,0.00,,
145,S00112,"HIFU NECK LIFT & TUCK ",,,30,Yes,488.00,488.00,0.00,,
146,S00113,"HIFU FACE & NECK LIFT",,,90,Yes,1200.00,1200.00,0.00,,
147,S00114,"CO2 LASER FACE -FIRST TRAIL ","1ST TRIAL",,60,Yes,298.00,298.00,0.00,,
148,S00115,"CO2 LASER FACE ",,,60,Yes,988.00,988.00,0.00,,
149,S00116,"DPL SHRS BIKINI -FIRST TRAIL ","1ST TRIAL",,30,Yes,198.00,198.00,0.00,,
150,S00117,"DPL SHRS BIKINI ",,,30,Yes,328.00,328.00,0.00,,
151,S00118,"DPL SHRS LIPS -FIRST TRAIL ","1ST TRIAL",,30,Yes,99.00,99.00,0.00,,
152,S00119,"DPL SHRS LIPS ",,,30,Yes,198.00,198.00,0.00,,
153,S00120,"DPL SHRS ARMPITS -FIRST TRAIL ","1ST TRIAL",,30,Yes,129.00,129.00,0.00,,
154,S00121,"DPL SHR ARMPITS",,,30,Yes,238.00,238.00,0.00,,
155,S00122,"DPL SHR HANDS -FIRST TRAIL ","1ST TRIAL",,60,Yes,198.00,198.00,0.00,,
156,S00123,"DPL SHR HANDS ",,,60,Yes,278.00,278.00,0.00,,
157,S00124,"DPL SHR LEGS -FIRST TRAIL ","1ST TRIAL",,60,Yes,198.00,198.00,0.00,,
158,S00125,"DPL SHR LEGS ",,,60,Yes,378.00,378.00,0.00,,
159,S00126,"DPL SHR BRAZILIAN -FIRST TRAIL","1ST TRIAL",,30,Yes,198.00,198.00,0.00,,
160,S00127,"CO2 STRETCHEND MARKS RESUR FACE  - FIRST TRIAL ","1ST TRIAL",,60,Yes,688.00,688.00,0.00,,
161,S00128,"CO2 STRETCHEND MARKS RESUR FACE ",,,60,Yes,1388.00,1388.00,0.00,,
162,S00129,"DPL SHR BRAZILIAN ",,,30,Yes,368.00,368.00,0.00,,
163,S00130,"EYE BROWN SHAPPING ",,,0,Yes,0.00,0.00,0.00,,
164,S00131,"SLIMMING X 20","BODY CARE","Body Slimming",0,Yes,4098.00,4098.00,0.00,Slimming,Slimming
165,S00132,"F-LIFT TOLL",,,0,Yes,0.00,0.00,0.00,,
166,S00133,"AMETHYST GUASHA",,,0,Yes,0.00,0.00,0.00,,
167,S00134,"HARMONY GUASHA FIRST TRIAL",,,0,Yes,199.00,199.00,0.00,,
168,S00135,"HARMONIE DELUXE ",FACIAL,,0,Yes,188.00,188.00,0.00,,
169,S00136,"EYE BAGS,DARK CIRCLE,FINE LINES/WRINKLES (CLASSIC)",,,0,Yes,180.00,180.00,0.00,,
170,S00137,"CLASSIC EYE TREATMENT",,"Ear Treatment",0,Yes,180.00,180.00,0.00,,
171,S00138,"GLOW WITH PRIDE PROMO","FLEXI BUDGET",,0,Yes,3100.00,3100.00,0.00,,
172,S00139,"Harmonie de Luxe Facial",FACIAL,,0,Yes,188.00,188.00,0.00,,
173,S00140,"INSTANT FACELIFT",FACIAL,,0,Yes,68.00,68.00,0.00,,
174,S00141,"UPPER LIP",,,0,Yes,0.00,0.00,0.00,,
175,S00142,"Lip Pico laser Treatment",,,0,Yes,250.00,250.00,0.00,,
176,S00143,"PICO LASER LIPS","1ST TRIAL",,0,Yes,57.00,57.00,0.00,,
177,S00144,"TOP UP ","FLEXI BUDGET",,0,Yes,0.00,0.00,0.00,,
178,S00145,"HALTH TREATMEAT",,,0,Yes,68.00,68.00,0.00,,
179,S00147,"Joyful Glow Oxygen","1ST TRIAL",,0,Yes,198.00,198.00,0.00,,
180,S00148,"Joy Activation ",,,0,Yes,0.00,3.00,0.00,,
181,TB00004,"BODY SLIMMING ACUPUNCTURE ( PARTLY )",TCM,"BODY TREATMENT",60,Yes,0.00,180.00,0.00,,Slimming
182,TB00005,"HORMONAL DISORDER ACUPUNTURE",TCM,"BODY TREATMENT",45,Yes,0.00,180.00,0.00,,Slimming
183,TB00006,"TOXIC BLOOD DETOXIFICATION",TCM,"BODY TREATMENT",60,Yes,0.00,300.00,0.00,,Slimming
184,TB00007,"BODY SLIMMING CUPPING",TCM,"BODY TREATMENT",40,Yes,0.00,150.00,0.00,,Slimming
185,TB00008,"WELLNESS CUPPING",TCM,"BODY TREATMENT",20,Yes,0.00,80.00,0.00,,Slimming
186,TB00009,"SOOTHING QI, BLOOD & MUSCLE CUPPING",TCM,"BODY TREATMENT",30,Yes,0.00,220.00,0.00,,Slimming
187,TB00012,"BODY VITALITY GUA SHA",TCM,"BODY TREATMENT",30,Yes,0.00,200.00,0.00,,Slimming
188,TB00013,"PAIN RELIEF MERIDIAN",TCM,"BODY TREATMENT",90,Yes,0.00,350.00,0.00,,Slimming
189,TB00014,"FIRE THERAPY MERIDAIN",TCM,"BODY TREATMENT",60,Yes,0.00,280.00,0.00,,Slimming
190,TB00015,"EAR MOXIBUSTION & EAR CANDLING",TCM,"Ear Treatment",90,Yes,0.00,280.00,0.00,,
191,TCM,"Acupuncture Treatment ",TCM,,0,Yes,0.00,180.00,0.00,,
192,TE00002,"EYE WASH",TCM,"Eye Treatment",30,Yes,0.00,100.00,0.00,,"Eye Treatment Commission"
193,TF00003,"FACE SLIMMING ACUPUNTURE",TCM,"Face Treatment",60,Yes,0.00,250.00,0.00,,Facial
194,TF00010,"FACE LIFT GUA SHA",TCM,"Face Treatment",30,Yes,0.00,150.00,0.00,,Facial
195,TF00011,"FACIAL ACUPRESSURE POINTS , GUA SHA ON MERIDIAN POINT",TCM,"Face Treatment",30,Yes,0.00,250.00,0.00,,Facial
196,TMB00016,"DDS ELECTRO EXTREME PAIN RELIEF",TCM,"BODY TREATMENT",60,Yes,0.00,200.00,0.00,,Slimming
197,TMB00017,"TCM ELECTRO BALANCE HORMONES",TCM,"BODY TREATMENT",45,Yes,0.00,180.00,0.00,,Slimming
198,TMB00018,"TCM ELECTRO MILD PAIN RELIEF",TCM,"BODY TREATMENT",30,Yes,0.00,100.00,0.00,,Slimming
199,TP00001,"PULSE READING",TCM,Medicare,0,Yes,0.00,50.00,0.00,,
200,Wellness,"Wellness Insulin Enhancement Compounded Nutrients",,,0,Yes,0.00,2220.00,0.00,,
201,"WS-PC 1","Screening and Consultations",,,0,Yes,0.00,1880.00,0.00,,
